root_id,supervoxel_id,position,type
720575941400519459,74170306570777108,"[63431, 50594, 3718]",T5a
720575941400575011,73677587318451617,"[48158, 45995, 1359]",T2
720575941400624675,73677450147971667,"[47645, 42585, 2410]",T4d
720575941401093155,73959062429548054,"[55321, 45951, 1941]",T5b
720575941401148707,73466206409680526,"[41591, 37767, 2253]",TmY16
720575941401180707,73607081538313898,"[45437, 42661, 3025]",TmY14
720575941401190691,73325468853798665,"[37237, 37078, 1848]",Dm2
720575941401219619,74028744180042678,"[58401, 25351, 2608]",TmY4
720575941401227811,73254894219785061,"[35779, 31801, 2934]",Tm27
720575941401253155,73044131115254752,"[29837, 41077, 1273]",Mi15
720575941401275939,73114225048089403,"[32368, 34640, 1341]",Tm21
720575941401279011,73255031323265595,"[35355, 36521, 1677]",Tm25
720575941401343011,73255374786599535,"[35047, 45117, 1226]",Mi14
720575941401359395,73114431407550375,"[31598, 39392, 2059]",Dm3q
720575941401383971,73607424665676666,"[45322, 51966, 1132]",T2a
720575941401437987,73114225384146491,"[31884, 33888, 2794]",Dm3v
720575941401441059,73043787920413763,"[29422, 32733, 2773]",Tm5c
720575941401446179,73465793958408942,"[42182, 24709, 1671]",Dm2
720575941401481322,73607012281691248,"[45963, 40366, 873]",L5
720575941401484323,73114500127809442,"[31237, 41384, 2270]",Tm1
720575941401484906,73396043488151481,"[40223, 44094, 887]",L5
720575941401485418,73184937121749315,"[33897, 43290, 508]",L1
720575941401486371,72973899944058318,"[28108, 46272, 1726]",Mi15
720575941401489187,73044406328373504,"[29804, 50850, 2434]",Tm20
720575941401496867,73114500396062073,"[31309, 41654, 3229]",Mi4
